00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.023,0.041,0.056,0.07,0.074,0.056,0.025,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.169,0.251,0.288,0.446,0.354,0.277,0.142,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.042,0.113,0.236,0.265,0.175,0.121,0.058,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.04,0.069,0.18,0.328,0.282,0.147,0.088,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.021,0.043,0.063,0.088,0.097,0.045,0.023,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.122,0.223,0.303,0.297,0.232,0.185,0.11,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.068,0.126,0.186,0.235,0.229,0.123,0.077,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.24,0.516,0.605,0.64,0.57,0.388,0.192,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.211,0.306,0.39,0.396,0.321,0.272,0.158,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.151,0.212,0.251,0.291,0.329,0.343,0.297,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.105,0.063,0.092,0.129,0.127,0.102,0.045,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.043,0.082,0.122,0.143,0.171,0.138,0.083,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.177,0.224,0.271,0.276,0.17,0.146,0.093,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.026,0.038,0.046,0.055,0.09,0.036,0.014,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.174,0.369,0.514,0.513,0.474,0.368,0.183,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.13,0.166,0.186,0.19,0.184,0.184,0.158,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.128,0.336,0.554,0.636,0.638,0.558,0.409,0.251,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.059,0.134,0.232,0.327,0.351,0.315,0.277,0.222,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.244,0.449,0.589,0.663,0.678,0.641,0.546,0.39,0.169,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.183,0.433,0.597,0.671,0.686,0.646,0.549,0.391,0.171,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.216,0.411,0.565,0.639,0.655,0.622,0.537,0.391,0.181,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
