00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Day
80.19060935;56.40052153;49.6610319;48.07709654;48.07709654;53.32582349;94.60131529;153.5174988;167.1207083;156.6853696;145.4114768;145.1940739;158.2382473;164.2012981;147.4302179;132.8021091;128.3919361;149.7595346;195.0725087;230.0433166;218.5520209;182.0904503;153.4864413;116.9006404;1
80.08310254;56.32490868;49.59445428;48.01264242;48.01264242;53.25433271;94.47448889;153.311687;166.8966595;156.4753107;145.2165322;144.9994207;158.0261067;163.9811631;147.2325669;132.6240691;128.2198086;149.5587608;194.8109865;229.7349111;218.2590211;181.8463324;153.2806711;116.7439186;1
79.97049864;56.2457109;49.52472011;47.94513242;47.94513242;53.17945243;94.34164945;153.0961173;166.6619881;156.2552927;145.0123449;144.7955388;157.8039081;163.7505911;147.025545;132.437588;128.0395203;149.348468;194.5370651;229.4118836;217.9521297;181.5906404;153.065145;116.5797664;1
79.85290006;56.1630002;49.45189279;47.87462792;47.87462792;53.10125074;94.20291773;152.8709857;166.4169075;156.0255154;144.7991007;144.5826134;157.5718535;163.5097919;146.8093403;132.2428353;127.851235;149.1288474;194.2509935;229.0745278;217.6316258;181.3236069;152.8400589;116.408333;1
79.73040854;56.07684815;49.37603535;47.80118994;47.80118994;53.0197953;94.0584138;152.636487;166.1616299;155.7861778;144.576984;144.3608288;157.3301439;163.2589737;146.58414;132.0399794;127.6551158;148.9000891;193.9530194;228.7231356;217.2977866;181.0454629;152.6056077;116.2297668;1
92.18177558;70.38494771;53.70590403;49.48219057;47.69404911;48.15649948;59.56360884;90.54778424;136.3303718;170.8908301;180.7872682;188.3097944;202.1216457;207.0544498;193.0884483;179.6157273;175.4228438;208.2259907;253.8852582;261.6852546;228.2038471;172.5556515;154.1501264;135.5904512;2
97.50759322;75.19288202;57.52578653;51.67779325;48.19977619;47.30718774;49.40015376;56.66397699;93.38321901;156.6646621;204.7105437;241.9530272;258.0811771;226.0711086;176.8248494;148.1696824;132.6263318;145.0302333;184.3656829;213.1747445;206.6188363;172.2387916;149.2161654;113.666522;3
79.33458504;55.7984533;49.13090685;47.5638798;47.5638798;52.75657727;93.59145857;151.8787195;165.3367165;155.0127736;143.8592282;143.644146;156.5490747;162.4484706;145.8564195;131.3844638;127.0213689;148.1608711;192.990135;227.5876342;216.2190066;180.1466584;151.8479935;115.6527413;1
79.19352738;55.69924311;49.04355162;47.47931076;47.47931076;52.66277556;93.42505205;151.6086777;165.0427462;154.7371594;143.6034451;143.3887453;156.2707289;162.1596356;145.5970854;131.150861;126.7955237;147.8974396;192.6469967;227.1829811;215.8345671;179.8263559;151.5780063;115.4471096;1
79.04807653;55.59694306;48.95347574;47.39210785;47.39210785;52.56605244;93.25346286;151.3302255;164.7396204;154.4529613;143.3396957;143.1253903;155.9837141;161.861805;145.3296744;130.9099827;126.5626446;147.6258036;192.2931714;226.7657253;215.4381544;179.4960777;151.2996105;115.2350736;1
78.89833062;55.49162216;48.86073999;47.3023299;47.3023299;52.46647315;93.07680677;151.0435508;164.4275434;154.160371;143.068158;142.8542586;155.6882241;161.5551797;145.0543669;130.6619914;126.3228888;147.3461465;191.928898;226.3361483;215.0300359;179.1560466;151.0129938;115.0167763;1
78.74438718;55.383349;48.76540476;47.21003538;47.21003538;52.36410255;92.89519881;150.7488404;164.1067186;153.8595791;142.7890088;142.5755267;155.3844511;161.2399593;144.7713423;130.4070486;126.0764123;147.0586503;191.5544136;225.8945297;214.6104774;178.8064841;150.7183429;114.7923599;1
91.0043245;69.48591065;53.0199108;48.85014743;47.08484616;47.54138959;58.8027943;89.39120437;134.5890043;168.708017;178.4780465;185.9044863;199.5399169;204.4097135;190.6221018;177.3214698;173.1821426;205.5662902;250.6423452;258.3427112;225.2889665;170.3515733;152.1811447;133.8585348;2
96.22314702;74.20238263;56.76801193;50.99705298;47.56485109;46.68402051;48.74941634;55.91755482;92.15310229;154.6009528;202.0139365;238.7658329;254.6815302;223.0931234;174.4955744;146.2178756;130.8792742;143.1197818;181.9370741;210.3666402;203.8970915;169.9699276;147.2505735;112.1692178;3
78.25833768;55.04149544;48.46440044;46.91863157;46.91863157;52.04088528;92.32180347;149.8183436;163.0937703;152.9098813;141.9076441;141.6954797;154.425341;160.2447062;143.8777417;129.6021115;125.298206;146.1509312;190.3720445;224.5001964;213.2857948;177.7028016;149.7880344;114.0838044;1
78.08856712;54.92209058;48.35926368;46.81684814;46.81684814;51.92798983;92.12152418;149.4933336;162.7399611;152.5781646;141.5997952;141.3880911;154.0903367;159.8970776;143.5656189;129.3209578;125.026389;145.8338771;189.9590589;224.0131745;212.823101;177.3173002;149.4630901;113.8363155;1
77.9150775;54.80007;48.25182375;46.712835;46.712835;51.81262125;91.9168575;149.1612038;162.3784013;152.2391813;141.2852025;141.0739688;153.7479938;159.5418338;143.2466588;129.033645;124.7486175;145.5098775;189.5370263;223.5154838;212.3502713;176.9233538;149.1310275;113.583405;1
77.73796271;54.67549972;48.14213879;46.60664844;46.60664844;51.69484197;91.70791418;148.8221339;162.0092863;151.8931146;140.9640362;140.7532826;153.3984973;159.1791669;142.9210337;128.7403286;124.4650418;145.1791077;189.106175;223.0073934;211.8675614;176.5211756;148.7920262;113.3252098;1
77.557316;54.54844534;48.03026657;46.49834437;46.49834437;51.57471401;91.49480424;148.4763025;161.6328108;151.5401469;140.6364653;140.4262015;153.0420314;158.8092679;142.5889152;128.4411631;124.1758111;144.841742;188.6667319;222.489171;211.3752257;176.1109774;148.4462648;113.0618658;1
